post_code,post_name,post_url,product_name,size,image_name
B13-2,윤성커뮤니케이션 장갑-핸드맥스 울트라슬림 핸드맥스 울트라그립 L 10조 스포츠 장갑,https://www.coupang.com/vp/products/333105709?itemId=1064087275&vendorItemId=70431719620&q=%EC%98%A4%EC%94%A8%EB%B3%B8%EC%9A%B8%ED%8A%B8%EB%9D%BC%EC%8A%AC%EB%A6%BC%EC%83%9D%EB%A6%AC%EB%8C%80(%EB%8C%80%ED%98%95)&itemsCount=7&searchId=39e4c83d0671486ab1085655bd712a94&rank=2&isAddedCart=,,,B13-2.jpg
B13-3,채은마켓 끈적임없는 백탁없는 울트라슬림 선크림 썬크림 SPF50 선블록 선로션,https://www.coupang.com/vp/products/325514951?itemId=1042139725&vendorItemId=70091907234&q=%EC%98%A4%EC%94%A8%EB%B3%B8%EC%9A%B8%ED%8A%B8%EB%9D%BC%EC%8A%AC%EB%A6%BC%EC%83%9D%EB%A6%AC%EB%8C%80(%EB%8C%80%ED%98%95)&itemsCount=7&searchId=39e4c83d0671486ab1085655bd712a94&rank=3&isAddedCart=,,,B13-3.jpg
B15-1,유기농본 오씨본 울트라슬림 중형 날개형 생리대,https://www.coupang.com/vp/products/226862313?itemId=434301&vendorItemId=3000344959&q=%EC%98%A4%EC%94%A8%EB%B3%B8%EC%9A%B8%ED%8A%B8%EB%9D%BC%EC%8A%AC%EB%A6%BC%EC%83%9D%EB%A6%AC%EB%8C%80(%EC%A4%91%ED%98%95)&itemsCount=15&searchId=48779a56a29545fa8d35a8914252def6&rank=1&isAddedCart=,,,B15-1.jpg
B15-3,랄라블라 [동수원NC점] 오씨본 울트라슬림 생리대 중형 날개형 16P(14160),https://www.coupang.com/vp/products/1483667919?itemId=2548547958&vendorItemId=70541133346&q=%EC%98%A4%EC%94%A8%EB%B3%B8%EC%9A%B8%ED%8A%B8%EB%9D%BC%EC%8A%AC%EB%A6%BC%EC%83%9D%EB%A6%AC%EB%8C%80(%EC%A4%91%ED%98%95)&itemsCount=15&searchId=48779a56a29545fa8d35a8914252def6&rank=3&isAddedCart=,,,B15-3.jpg
B4-1,유기농본 에스 울트라슬림 소형 생리대 날개형,https://www.coupang.com/vp/products/133448682?itemId=779406758&vendorItemId=5492928202&q=%EB%B3%B8%EC%97%90%EC%8A%A4%EC%83%9D%EB%A6%AC%EB%8C%80(%EC%86%8C%ED%98%95)&itemsCount=36&searchId=3901f95112a74f638c0bc89a31115923&rank=1&isAddedCart=,,,B4-1.jpg
B4-2,유기농본 플러스 도톰한 소형 생리대 날개형,https://www.coupang.com/vp/products/196764011?itemId=566847115&vendorItemId=4488005163&q=%EB%B3%B8%EC%97%90%EC%8A%A4%EC%83%9D%EB%A6%AC%EB%8C%80(%EC%86%8C%ED%98%95)&itemsCount=36&searchId=3901f95112a74f638c0bc89a31115923&rank=2&isAddedCart=,,,B4-2.jpg
B5-1,유기농본 에스 슈퍼롱 오버나이트 생리대 날개형,https://www.coupang.com/vp/products/25903299?itemId=518879833&vendorItemId=4340249840&q=%EB%B3%B8%EC%97%90%EC%8A%A4%EC%83%9D%EB%A6%AC%EB%8C%80(%EC%8A%88%ED%8D%BC%EB%A1%B1)&itemsCount=36&searchId=927da3d9c57544e294e3f2faa6fd2de2&rank=1&isAddedCart=,,,B5-1.jpg
B5-2,유기농본 에스 울트라 슬림 수퍼롱 생리대,https://www.coupang.com/vp/products/2920623?itemId=206028&vendorItemId=3000131915&q=%EB%B3%B8%EC%97%90%EC%8A%A4%EC%83%9D%EB%A6%AC%EB%8C%80(%EC%8A%88%ED%8D%BC%EB%A1%B1)&itemsCount=36&searchId=927da3d9c57544e294e3f2faa6fd2de2&rank=2&isAddedCart=,,,B5-2.jpg
B6-1,유기농본 플러스 도톰한 대형 생리대 날개형,https://www.coupang.com/vp/products/196764021?itemId=718893515&vendorItemId=4819089724&pickType=COU_PICK&q=%EB%B3%B8%ED%94%8C%EB%9F%AC%EC%8A%A4%EB%8F%84%ED%86%B0%ED%95%9C%EC%83%9D%EB%A6%AC%EB%8C%80%EB%8C%80%ED%98%95&itemsCount=36&searchId=effb14a38395467fbda283379134bfa8&rank=1&isAddedCart=,,,B6-1.jpg
B6-2,유기농본 생리대 날개형 대형 28p x 2팩 + 중형 30p,https://www.coupang.com/vp/products/1708903243?itemId=2908225092&vendorItemId=70896966731&q=%EB%B3%B8%ED%94%8C%EB%9F%AC%EC%8A%A4%EB%8F%84%ED%86%B0%ED%95%9C%EC%83%9D%EB%A6%AC%EB%8C%80%EB%8C%80%ED%98%95&itemsCount=36&searchId=effb14a38395467fbda283379134bfa8&rank=2&isAddedCart=,,,B6-2.jpg
B7-1,유기농본 플러스 도톰한 중형 생리대 날개형,https://www.coupang.com/vp/products/196764009?itemId=663068763&vendorItemId=4715742776&pickType=COU_PICK&q=%EB%B3%B8%ED%94%8C%EB%9F%AC%EC%8A%A4%EB%8F%84%ED%86%B0%ED%95%9C%EC%83%9D%EB%A6%AC%EB%8C%80%EC%A4%91%ED%98%95&itemsCount=5&searchId=002c1c518187413fa45182b590b3d044&rank=1&isAddedCart=,,,B7-1.jpg
B8-3,유기농본 뉴본플러스 소형 생리대 날개형,https://www.coupang.com/vp/products/1734227055?itemId=2952315191&vendorItemId=70940835055&q=%EB%B3%B8%ED%94%8C%EB%9F%AC%EC%8A%A4%EC%86%8C%ED%98%95&itemsCount=36&searchId=1756c1fc06564f058dcce1485432ada3&rank=3&isAddedCart=,,,B8-3.jpg
B9-1,유기농본 플러스 유기농순면커버 중형 생리대 날개형,https://www.coupang.com/vp/products/196764009?itemId=718893478&vendorItemId=4819089686&pickType=COU_PICK&q=%EB%B3%B8%ED%94%8C%EB%9F%AC%EC%8A%A4%EC%A4%91%ED%98%95&itemsCount=36&searchId=b54a265e253d485a8f4b0e41891203e1&rank=1&isAddedCart=,,,B9-1.jpg
C16-1,바디피트 순간흡수 오버나이트 12p x 4팩 + 한결중형2p x 3팩,https://www.coupang.com/vp/products/156571806?itemId=450806952&vendorItemId=70910841838&q=%EC%8F%98%ED%94%BC%EA%B7%80%EC%95%A0%EB%9E%91%EC%98%A4%EB%B2%84%EB%82%98%EC%9D%B4%ED%8A%B8&itemsCount=36&searchId=a3c93435b79a403da213a5459d71c8f5&rank=1&isAddedCart=,,,C16-1.jpg
C16-2,쏘피 귀애랑 안심숙면 330 오버나이트 날개형 생리대,https://www.coupang.com/vp/products/1449794?itemId=6321868&vendorItemId=3027319436&q=%EC%8F%98%ED%94%BC%EA%B7%80%EC%95%A0%EB%9E%91%EC%98%A4%EB%B2%84%EB%82%98%EC%9D%B4%ED%8A%B8&itemsCount=36&searchId=a3c93435b79a403da213a5459d71c8f5&rank=2&isAddedCart=,,,C16-2.jpg
